"Precinct","Shape_Leng","Shape_Area","R_CrimeCount","R_MedianDiff","R_MeanDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","NR_CrimeCount","NR_MedianDiff","NR_MeanDiff","NR_SDDiff","V1","pop.total","pop.male","pop.u20","pop.20.64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","lan.english","lan.spanish","lan.yiddish","lan.russian","lan.polish","lan.armenian","lan.hindi","lan.chinese","lan.vietnamese","lan.arabic","lan.hebrew","lan.african","city","x","y","crime.cap"
"108",73560.8890093,139601011.656,54,4.5,326.425925925926,972.422972685102,0.388888888888889,0.537037037037037,0.648148148148148,0.351851851851852,29826,0,67.3870448601891,4221.2670561052,66,119736.043640344,50.8991475171126,19.1725308092345,69.9382429110148,23.0079144374381,57.3227766549573,3.12350425875231,1.23615856773475,33.2064446330432,0.385665682257044,35.4605034619691,4.96860825407708,45.0639718757347,1956.68036892766,21.4774886305905,2.6917600785438,20.1640290430217,14.0502763399914,63185.526581622,3.56161937740339,3.82337136625254,27.226013238005,29.4730269561437,0.00420412829896326,0.00420412829896326,0.710415494752149,0.636406463434487,1.52221948765062,7.39577874545735,0.157485344605777,0.823443943371344,0.23200791360446,0.0360371515710907,1,-73.95652002,40.77278741,0.249548916863762
"109",132333.980989,322683809.429,69,23,631.072463768116,2144.20418062301,0.246376811594203,0.36231884057971,0.550724637681159,0.449275362318841,47278,0,42.3635940606625,3344.29767219883,67,229802.850332434,47.8147703791194,18.9132919047382,63.528498028576,30.6789049309495,33.2120408903406,3.39238642926385,0.648243733721949,55.6481060983104,0.236375626438101,16.8873687618532,3.68217107789183,53.2953203111602,1805.89531873677,14.4236829966541,2.9177595072817,23.1124119642488,17.131140463076,53045.1202708583,7.47578183026254,3.52860434480642,24.6311421642493,13.5330170514954,0.0497145236627101,0.0454130469450044,0.400339696260713,0.183420499031621,0.845683320614375,32.3169162417379,0.213379309245626,0.369936544835142,0.122890411770935,0.0223641637230419,1,-73.98169683,40.77939053,0.206033127663593
"110",72812.6108644,112103959.243,121,31,586.95041322314,1443.46839159043,0.322314049586777,0.446280991735537,0.495867768595041,0.504132231404959,40224,0,11.3861624900557,121.825448454165,68,168670.018403322,51.6012392031773,24.1511197398372,64.5487264705636,21.6980804690216,37.5295557630012,8.47533971352384,1.30617502892987,34.7124459392691,0.159485685775774,51.4017349161026,9.6666530661492,55.7281916087176,1826.19793808606,17.7407140808361,3.31037352290262,31.4206750360393,20.6013498120828,46187.6376317627,3.32808916012715,3.90326561169018,13.643697999337,45.8133584035847,0.0207264955128348,0.0207264955128348,0.316916968503254,0.0615288681547754,0.850106338793558,13.6679033685266,0.0713495081036609,0.307958077856826,0.01740460555429,1.01723843846222,1,-73.96555533,40.78247566,0.23919485147341
"111",97451.1036191,260157155.656,15,3,539.466666666667,1355.9795545586,0.333333333333333,0.666666666666667,0.733333333333333,0.266666666666667,17326,0,22.1818076878679,248.358783588612,69,119281.073097732,48.202499848689,20.5749801558196,61.2890300297843,31.3517453102946,50.6502555018763,3.07625179818108,0.669519639285674,44.5160089078899,0.32434078914637,11.7142883697507,0.704194369668115,43.485263132513,1397.33904679648,12.5488477023032,2.74619519236945,10.7825562781612,7.50109208558162,79823.320826273,3.08014405636259,3.6076974285832,39.7438804398813,8.27312183578821,0.0678444983094268,0.059006176243799,0.523712690972451,0.329496469557603,0.29136701912989,20.5623080686093,0.0879091891473435,0.259132321447835,0.240084556867441,0.11464268217388,1,-73.94453596,40.7911915,0.145379309136428
"112",41644.0361561,88945075.9453,29,7,394.689655172414,684.020890629617,0.344827586206897,0.517241379310345,0.586206896551724,0.413793103448276,20628,0,13.875993794842,128.505097301955,70,114283.372825657,46.6972168442276,18.7668758681374,62.8953651395243,28.5873236590921,64.5558033709848,4.22925664804913,0.968423382263229,28.8322434481951,0.271686504414228,15.7475543014551,2.78332775662779,44.5893423011908,1945.23455793678,15.3292848099348,2.24667585429841,8.12909056117844,11.7128592489426,68511.1636050608,3.08319406654464,3.69553707487177,36.5984219431787,11.3065443340319,0.149927146837677,0.117551483110566,0.909115045592051,0.26412775587531,2.82777524269971,11.6446599716458,0.106487226561395,0.401017922155715,1.77465072854248,0.22292556347973,1,-73.97007366,40.79561213,0.180752453215683
"113",214242.997647,389637204.164,91,5,342.824175824176,1004.19869208579,0.384615384615385,0.56043956043956,0.714285714285714,0.285714285714286,49848,0,11.5767533301236,115.598253329035,71,135622.931393666,45.3525942239314,25.4613446575939,61.2546724688037,18.1053674517059,4.36481508096756,85.9681042841012,1.11325969532569,3.71791775879434,0.24481578125321,9.41807537653496,1.36849331446627,47.3305199978718,1455.18031154152,14.1217258162137,3.24505993591037,14.3428392423306,11.0445520297264,65543.7297118538,3.1295290343717,7.07748944753979,78.6658030424475,5.86207093086076,0.000193526319127608,0.000193526319127608,0.0229722757297777,0,0.128703482825245,0.190181887472179,0.0309688088976292,0.113016953040683,0.00521515888735114,1.94333003586035,1,-73.93040596,40.79664779,0.368219441113867
"114",113660.113185,180006200.205,116,1,363.258620689655,1488.36159188079,0.517241379310345,0.663793103448276,0.71551724137931,0.28448275862069,54305,0,24.9381824878004,1632.6031496877,72,187213.376993693,51.3918690872466,16.4137301124924,73.5318903812675,21.4368740869487,65.2346260814749,10.2555385837339,1.04975128005574,18.1775877947749,0.205197064693977,27.4535592188797,2.41967657125826,39.7011378943173,1619.93451742777,26.5654793939061,2.48072107396261,18.1920974176677,16.157093379381,58265.0760984457,2.50173616673706,5.31263076296924,42.1839564204084,23.1606630827529,0.0494429497461091,0.0352115039194857,0.536717062806844,0.116108127572399,0.345722448351916,2.65229482125379,0.216339818601871,2.23949029181424,0.220154341876869,0.143806700958763,1,-73.95890074,40.81198433,0.290689697893935
"115",58272.2043476,113293878.523,153,11,239.457516339869,598.299399030814,0.326797385620915,0.470588235294118,0.555555555555556,0.444444444444444,47589,0,15.4625858916977,198.278063752818,73,167333.153307725,51.1934405102763,23.4648904387092,64.7940466231129,20.3873832809976,46.1852656421521,7.38939658173926,0.967444039912597,19.0387862498532,0.30587661356383,64.7932482384637,7.83372943829745,53.7198704147898,1781.70135128647,18.1234053866398,3.34861259268788,29.4257526047325,18.5171684980769,51051.0763707491,3.47087315081786,4.33478308439318,16.0325437400493,58.6573540543752,0,0,0.29968356545713,0.0107685809138206,1.13895292353626,3.90910639132353,0.128447364645789,0.705030190175699,0.0717274900188096,0.128369282812358,1,-73.95103617,40.80462409,0.285311063924091
"120",96171.7340003,232535269.127,132,5.5,332.378787878788,643.404560089185,0.348484848484849,0.522727272727273,0.545454545454545,0.454545454545455,51956,0,11.0032719993841,175.565064345848,74,108150.889224732,48.7909740811859,27.731932824369,60.5770526331012,21.9386561584067,60.1648210842649,27.4163706270153,1.11422035964483,8.10340845775668,0.232430362746926,28.5238201504891,1.81425177317533,47.736331013124,1659.71862523701,13.5713220573088,2.72334069192042,15.4627434527814,20.7518001077853,61261.5349219475,2.98717831433401,4.22696603340315,62.6060476265291,16.6146027387075,0.0204601110418074,0.0148800807574302,1.09511123544629,0,0.182342678124047,2.2696041745008,0.109210001904968,1.01571603901956,0.0414799824008582,1.0320906169731,1,-73.94955811,40.82607932,0.481623409417964
"121",138115.721207,475716087.709,47,3,121.872340425532,318.047208488004,0.446808510638298,0.595744680851064,0.702127659574468,0.297872340425532,30085,0,11.7564234668439,135.408810546603,75,117855.045888493,49.0742424003645,24.8824163798812,61.5256944884424,26.5551387648559,69.288189784026,14.1952347417888,0.43931055729764,13.6308057749878,0.256087266248801,22.0116423480101,1.39260892862485,47.5989195311593,1788.52760647898,14.5090773615947,2.84857215224422,12.4755981798479,14.2685136850825,72350.9928321171,3.08679806288872,3.39542771196416,60.5293600696361,12.9280063560521,0.0597008864329776,0.0597008864329776,1.02534363278957,0,0.822148709837671,2.82094675991218,0.194334685262183,1.96610031983086,0.757116653188704,0.986302682305563,1,-73.94067199,40.81926624,0.255670003544091
"122",154880.438293,454798513.218,31,4,187.709677419355,389.800136270575,0.419354838709677,0.516129032258065,0.580645161290323,0.419354838709677,35368,0,12.9292015381135,135.057814462533,76,135839.682330643,48.5959808485642,23.1029005202153,61.8012775540007,29.8335285858463,88.8437076164942,3.51782534680157,0.498500811093934,8.53394448753899,0.0391285579581329,12.4066643489793,0.729913215198189,47.8441925306963,1861.00767598592,12.2099745131104,2.68780873865213,10.1047256870411,9.78335374071093,82433.1973742009,2.44164186754126,3.96928880857584,67.0697422811057,5.94059577317183,0.0554255527314719,0.0554171867922905,1.26213230848542,0,0.235601471272202,2.9651845294918,0.054749714509179,1.34671865135072,0.0187009238218269,0.0924008664596106,1,-73.94045526,40.84108032,0.26059395452528
"123",120834.97483,460864352.981,18,2,55.0555555555556,162.654622263835,0.5,0.777777777777778,0.833333333333333,0.166666666666667,16800,0,14.4444642857143,119.212749963521,77,100712.345180318,49.9141701898874,24.9193741026257,62.2434052530471,30.0708818845305,93.6918578985416,1.33166202481107,0.377856111720061,5.61251390396573,0.0422088783854673,9.7912372600714,0.686916181672306,36.5032183528736,2238.74896617465,12.2430213435021,2.67639213599056,7.62479314440634,7.42580324385572,91188.0522966731,2.06729835331274,3.1703612443605,76.3568860700573,4.25724248534973,0.0403577554713872,0.0232122006498127,0.322342747210242,0,0.0941144861123202,1.66138811230927,0.0860152787934192,1.27822207054977,0.334929786688365,0.00158800649370066,1,-73.92708302,40.86207717,0.166990451566674
"13",27719.1716689,29508893.7429,42,2.5,8751.57142857143,56354.4205962467,0.476190476190476,0.69047619047619,0.761904761904762,0.238095238095238,41851,0,11.8900623641012,147.252259694417,7,80134.1347578728,47.1787349323529,12.7683340919328,74.5895365311966,19.460845076621,79.3893327465941,4.51269103150701,1.22329957583102,16.3827906078102,0.0198229146244903,10.6582064029627,2.89944114441494,30.0089244755896,4124.842092331,28.2976166344011,1.68911118184487,4.13643147811699,10.4613393739377,113545.376112503,0.194321342057353,3.38700837970075,71.7827736715919,7.78719432988683,0.0948495534882457,0.0337021312283442,0.235754619816554,0.0230490249031357,0.63764828320851,3.96743878752196,0.166708108389886,0.516793632672463,0.654950469345857,0.0744623090548408,1,-73.91646993,40.81090889,0.522785952909839
