"basiccar","pop.total","pop.male","pop.u20","pop.20.64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","lan.english","lan.spanish","lan.yiddish","lan.russian","lan.polish","lan.armenian","lan.hindi","lan.chinese","lan.vietnamese","lan.arabic","lan.hebrew","lan.african","city","x","y","R_MeanDiff","NR_CrimeCount","R_CrimeCount","R_MedianDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","crime.cap"
"14A25",33368.6191962017,49.957999487524,19.4680195745872,65.9206367992446,27.2793520342648,75.0782978605851,4.94864510177538,2.16465557056752,17.4454782944055,0.291926385185879,19.2009525169474,1.77138398544558,39.450893148527,1595.60808375633,17.9656183159654,2.46385722153658,7.17112033059152,10.5539149774846,85058.1501610318,3.12315686178159,4.13687018459193,59.7995757042998,13.2189520879322,0,0,0.0859659364163024,0.210223930003859,0.544767409493134,3.78674110655845,0.145472189978248,1.13527280361843,0.454435443393673,0.0177785743436582,1,-118.2697784,33.99985769,94.2,6838,25,4,134.287316353159,0.191489361702128,0.276595744680851,0.297872340425532,0.234042553191489,0.205672280283663
"14A27",40956.2072721555,51.4829631204709,14.551891836235,76.525000682985,19.2626886790845,60.1778865512696,9.07668208792392,1.03168183964627,27.7581618831549,0.566701677678762,22.7682088171116,3.82181050712529,39.4420627647085,2097.94703637048,33.1408847717706,2.02477280411966,6.09332481565286,15.4377856775611,61808.0854421879,4.29755501236081,4.67370049300765,48.2597581522691,19.0593951472877,0.0415322571494914,0.0293241026665588,0.101998713731647,0.304202468353552,1.65949861643365,5.50658381367089,0.523385749038403,1.39449812243898,0.352754507247815,0.604121414364954,1,-118.24749265,33.99660639,54.7352941176471,8444,34,2.5,145.665309366854,0.134328358208955,0.358208955223881,0.388059701492537,0.119402985074627,0.20700158937236
"14A45",37950.0530996237,48.0822540965304,16.2483501369612,71.7086887671557,22.2161937164287,67.9765237728229,8.38798622373529,1.91588271708508,20.1871305545693,0.305698241539629,18.8819504603818,0.84150764181293,38.4558409157608,2420.67631258452,22.0322595436058,2.19419605859981,6.330572613281,10.2235564028912,92913.9885876586,1.72870064411453,4.45448174279793,59.3136405697863,12.805223164676,0.000542080365750678,2.63779148984565e-05,0.0480223594388973,0.187976486083843,0.21910412681775,3.08410023038484,0.539207507033064,0.959938013225939,0.204961898993607,0.120914440659945,1,-118.35913103,34.01294955,129.131578947368,9785,38,5.5,390.369206462544,0.202702702702703,0.283783783783784,0.310810810810811,0.202702702702703,0.258840217541024
"14A49",25221.6759478787,49.7954010090732,21.2220829939361,65.9615038929764,20.8477219930593,64.2389985747209,4.91433163838571,5.08428775285521,14.9233506638325,0.194905093842277,51.560736685565,5.69154136159123,45.0821564090264,1522.83893570277,20.3264307590354,2.63012998980733,23.9499136481747,16.391782647192,52425.5024321899,6.22565170696935,6.1093925529277,40.7770119772359,42.3429060509986,0.000498973567176986,0.000498973567176986,0.106263992963303,0.00239389751775186,0.342412532514433,1.51784188091476,0.633541487397124,0.960072506371502,0.077187245735233,0.273949103294219,1,-118.31183308,34.0191244,237.263157894737,5208,19,5,437.931481462729,0.166666666666667,0.305555555555556,0.305555555555556,0.222222222222222,0.20724237401201
"14A67",19383.8236016908,93.5218965837083,37.3232311653827,132.925019850928,41.5044207138517,101.756298866489,51.7452714131576,4.69430645352899,32.4721559405545,2.09254656630501,41.3723250913387,2.79938339634862,76.6054171283322,3729.7375490432,38.6089165368949,4.46628749942776,9.22238809258013,18.5239461429973,161390.139174286,9.46071923815522,8.37768196572025,123.7973397687,32.7843312189082,0.000657978923015999,0.000657978923015999,0.548133556311476,0.719449527386536,1.68132936983057,1.45168767198369,0.448461498983756,2.52720952942285,0.288391697970237,2.78676166930271,1,-118.29044698,34.01914222,47.4565217391304,11780,46,2,132.796202509583,0.193548387096774,0.311827956989247,0.397849462365591,0.0967741935483871,0.610096348533034
"14A73",30878.2914192853,48.0157720178365,19.9535748177417,66.1227508422192,24.1112703695913,77.003607852872,6.5310395295568,1.58299844382412,15.4246974404957,0.53872062285901,14.0978531712225,0.966862585746472,40.3453517373658,1825.10568590065,17.5359142712663,2.31613681018858,2.501348237258,11.1278246654174,96181.4049508436,0.916719709670396,5.35524942318375,74.2055995086706,7.72779737281421,0.102409626055947,0.0803737778224332,0.131069416943646,0.243660645350168,0.426207817474832,2.66191148483338,0.139860891092812,0.374988552447436,0.201301883684087,0.218854273475465,1,-118.34279647,34.01408762,125.4,7157,35,2,260.259169471736,0.228571428571429,0.271428571428571,0.342857142857143,0.157142857142857,0.232914441487141
"15A21",23224.5751652245,48.3719100061976,23.0994687271521,63.2499707478646,23.3669214325923,68.1662738283001,4.0583063887511,1.6768400366299,8.99564940430757,0.404336680390546,48.2081971065478,5.92033201441256,62.3738345141462,1322.45295763876,16.5013229908269,3.42362440552733,24.5091763678707,20.4872709587618,47888.7692672056,9.78926273455082,7.27424474251224,21.1287635725332,40.5343038321444,8.14879181246031e-05,8.14879181246031e-05,4.14102846571356e-05,20.343770198562,0,0.513482622829086,0.162800592718782,0.116275426341027,0.101717580216402,0.0691900210937685,1,-118.29895687,34.00732103,201.434782608696,7569,23,2,461.106852740521,0.234042553191489,0.276595744680851,0.319148936170213,0.170212765957447,0.326895107703324
"15A27",24585.4772948966,50.8291826680177,26.0163361986812,64.1546009834123,20.3925368870624,56.6003806931686,5.09916307354107,1.03818343476596,7.1361225308287,0.335973359133414,68.2045503332807,6.71389671369856,59.1607970735483,1124.79295103098,17.98381267464,3.15350412785268,33.9331140852146,22.621606699884,40178.3296454479,10.0525862506948,5.94412704628909,23.3921033346582,59.1418755372351,0,0,0,4.41315834750236,0.0885840226878744,0.595696185337667,0.474446639910924,0.336269908989558,0.000237525193123391,0.000163818049871167,1,-118.30542005,33.98156064,123.666666666667,8078,27,1,328.973461637164,0.245614035087719,0.280701754385965,0.333333333333333,0.140350877192982,0.329666164410093
"15A3",27775.8999435661,49.2522629356177,29.6197077915444,62.5452997292422,18.9052047850628,62.3401566878592,4.16521938962845,1.1779140174006,6.87816208349821,0.608661693296746,74.540497100315,9.62262116063375,63.58004270516,1146.0628718875,17.4271468610839,3.56550552852563,39.1262242732556,28.0702808267665,40578.9740502066,8.8999918430877,6.65560462068797,17.7569400448468,64.5420488382517,2.99377141301203e-05,2.99377141301203e-05,0,4.28338169374745,0.100836138893841,0.280352251062978,0.0504298341120474,0.255878867297669,0.121405657228784,0.114687756655555,1,-118.32707809,33.97771931,177.441176470588,8473,34,5.5,430.838941374424,0.147540983606557,0.295081967213115,0.360655737704918,0.19672131147541,0.306272704657065
"15A33",17075.9595837897,50.9224483701137,21.8241539366355,67.3575809889199,21.8074657449828,75.2563351775862,8.0629793825219,0.971837413982779,9.1349085923046,0.714423576544633,30.9716841110584,1.85445000096884,45.606824395742,1714.11446771321,19.0339655848233,2.73440117742039,14.4312024523971,16.5176100840605,54180.082630495,6.62204919382457,6.09522038328737,39.7260533043352,23.7052211151866,0.110783384916787,0.110783384916787,0.0290760338028754,14.0742286246653,0.000349236512537467,1.01969605536183,0.188311753623197,0.587774741594519,2.97836223262453,0.395667924707948,1,-118.28056821,33.96397448,36.3076923076923,6109,13,2,76.6304819848523,0.185185185185185,0.333333333333333,0.37037037037037,0.111111111111111,0.358515723228324
