"ADDR_PCT_CD","CMPLNT_NUM","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","RPT_DELAY","COUNT","RPT_DELAY_1DAY","RPT_DELAY_1WEEK","RPT_DELAY_1MONTH","RPT_DELAY_MONTHS","RPT_DAY","CMPLNT_DAY","RPT_MONTH","CMPLNT_MONTH","x","y","R_MeanDiff","NR_CrimeCount","R_CrimeCount","R_MedianDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","lat","lon","lon.1","lat.1","optional"
"1",638382703,"MANHATTAN",2012-10-14,"20:00:00","","","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2012-10-19,NA,NA,NA,NA,"",5,1,0,1,0,0,"Friday","Sunday","October","October",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",477406639,"MANHATTAN",2012-09-23,"13:30:00","","","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",155,"RAPE 2","RESIDENCE - APT. HOUSE",2012-09-23,NA,NA,NA,NA,"",0,1,1,0,0,0,"Sunday","Sunday","September","September",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",753869679,"MANHATTAN",2012-05-27,"01:00:00","05/27/2012","07:48:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2012-05-27,NA,NA,NA,NA,"",0,1,1,0,0,0,"Sunday","Sunday","May","May",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",146848287,"MANHATTAN",2012-04-03,"22:15:00","04/04/2012","10:30:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2012-04-04,NA,NA,NA,NA,"",1,1,1,0,0,0,"Wednesday","Tuesday","April","April",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",760717640,"MANHATTAN",2016-07-28,"18:30:00","07/28/2016","20:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","HOTEL/MOTEL",2016-07-29,NA,NA,NA,NA,"",1,1,1,0,0,0,"Friday","Thursday","July","July",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",234362002,"MANHATTAN",2016-06-21,"00:01:00","06/21/2016","05:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","HOTEL/MOTEL",2016-07-12,NA,NA,NA,NA,"",21,1,0,0,1,0,"Tuesday","Tuesday","July","June",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",197620294,"MANHATTAN",2015-12-15,"18:00:00","12/15/2015","20:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2016-06-10,NA,NA,NA,NA,"",178,1,0,0,0,1,"Friday","Tuesday","June","December",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",761744350,"MANHATTAN",2016-04-30,"04:00:00","04/30/2016","04:30:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",153,"RAPE 3","RESIDENCE - APT. HOUSE",2016-05-04,NA,NA,NA,NA,"",4,1,0,1,0,0,"Wednesday","Saturday","May","April",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",760297479,"MANHATTAN",2016-04-09,"04:30:00","","","ATTEMPTED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",159,"RAPE 1,ATTEMPT","RESIDENCE - APT. HOUSE",2016-04-09,NA,NA,NA,NA,"",0,1,1,0,0,0,"Saturday","Saturday","April","April",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",129074777,"MANHATTAN",2016-03-27,"06:40:00","03/27/2016","06:50:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",159,"RAPE 1,ATTEMPT","HOTEL/MOTEL",2016-03-27,NA,NA,NA,NA,"",0,1,1,0,0,0,"Sunday","Sunday","March","March",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
