basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
15A27,24585.47747,50.82918259,26.01633617,64.15460085,0.201390834,56.60038068,5.099163042,1.038183428,7.136122495,0.335973366,68.20455012,6.713896689,59.16079693,1124.792951,0.17358864,3.153504121,33.93311396,22.62160664,40178.32964,10.0525863,5.944127021,1,-118.3054201,33.98156064,123.6666667,8074,27,1,328.9734616,0.245614035,0.280701754,0.333333333,0.140350877,0.329503464
15A3,27775.89994,49.25226274,29.61970768,62.54529948,0.189841546,62.34015644,4.165219373,1.177914013,6.878162055,0.608661691,74.54049681,9.622621123,63.58004246,1146.062867,0.172965969,3.565505515,39.12622412,28.07028072,40578.97389,8.899991807,6.655604595,1,-118.3270781,33.97771931,177.4411765,8472,34,5.5,430.8389414,0.147540984,0.295081967,0.360655738,0.196721311,0.306236702
15A33,17075.95956,50.92244608,21.82415295,67.35757791,0.212949709,75.2563318,8.062979038,0.971837377,9.134908161,0.714423517,30.97168268,1.854449912,45.60682231,1714.114391,0.192002638,2.734401053,14.43120178,16.51760936,54180.08014,6.622049075,6.095220118,1,-118.2805682,33.96397448,36.30769231,6108,13,2,76.63048198,0.185185185,0.333333333,0.37037037,0.111111111,0.358457162
15A39,25249.71174,51.85079577,18.69922834,72.29907807,0.167974248,68.85873339,8.697641919,1.16925041,7.966601495,0.547399876,46.87069935,8.146912624,50.47992127,1715.255453,0.252072938,2.584646626,22.62951582,25.18068649,43700.04016,4.017555893,6.840383092,1,-118.3094103,33.95127257,48.38095238,9885,42,2,128.0921833,0.197802198,0.340659341,0.373626374,0.087912088,0.393153003
15A43,27581.60713,50.61542053,20.63452553,70.05456315,0.21522978,85.49858836,8.502233187,1.564480143,7.539078361,0.812395392,25.44858136,1.185292382,53.53976057,2226.694881,0.199860686,2.425199661,8.876138796,13.96282926,62433.20903,11.49412027,8.49721564,1,-118.2813058,33.94682536,61.35294118,7416,17,1,147.5910487,0.230769231,0.333333333,0.358974359,0.076923077,0.269491185
15A67,31655.96733,51.89420832,12.62056583,77.65443795,0.199836672,77.02623264,9.600059635,1.060790622,11.84063581,0.683889729,16.90746707,1.42164403,46.35163846,1930.997856,0.28180592,2.013181497,4.48318179,12.33011709,72403.39519,5.859747661,7.708038892,1,-118.2608344,33.94081706,76.075,10463,40,2,283.5118039,0.211111111,0.344444444,0.355555556,0.088888889,0.331785786
15A85,32895.57137,48.21122639,18.61217141,68.80229071,0.230108777,84.09650184,8.168685211,0.589292689,8.977145942,0.413515433,11.94508545,0.155097434,42.88520337,2315.786852,0.178013181,2.172326619,3.123943261,6.716077211,97407.94516,3.505445892,7.179509535,1,-118.2466118,33.93630611,235.6129032,10609,31,5,422.4283511,0.203389831,0.271186441,0.305084746,0.220338983,0.323447794
16A11,29769.39582,51.27888992,29.8397319,62.24184308,0.181810987,61.9342271,5.219280423,1.581622001,2.507696509,0.243498642,90.62801104,8.006077558,60.57954339,915.6765805,0.188702039,5.044515701,50.07853448,23.64841488,49218.84064,5.839905218,9.138422776,1,-118.2806894,33.93655964,117.2608696,7655,46,6,312.3158255,0.186046512,0.279069767,0.360465116,0.174418605,0.258688488
16A23,41728.33395,49.31937168,31.72615433,59.69082647,0.196459162,62.67377913,4.199027226,0.569474347,3.27381303,0.058243702,89.28344888,5.459358117,54.71817879,955.6426387,0.151048584,4.433624019,47.15820922,25.05900164,48057.56685,5.251914469,7.517136067,1,-118.2343169,33.93638909,201.7346939,10629,49,6,375.6605724,0.191489362,0.287234043,0.340425532,0.180851064,0.255893274
16A35,32624.48476,50.0277111,20.81164078,63.98913666,0.26234251,77.16990206,5.702244621,1.977006101,9.198232067,1.10447299,38.56661161,1.664359765,52.86156602,1595.955584,0.131165058,3.088308757,18.6454463,14.05042209,62829.9123,5.772462165,5.136880934,1,-118.2681115,33.92707386,54.0625,6587,16,6.5,110.0233119,0.193548387,0.290322581,0.387096774,0.129032258,0.202394001
