basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff
19A75,73039.94041,49.04907206,30.90108295,60.75329965,0.19648951,48.38951427,2.933659568,0.713030891,16.14164566,0.291346755,73.94314139,8.569155201,60.60695873,19097.35015,0.158885331,3.850575104,38.01646738,26.97663984,39726.50488,8.308939545,7.507643028,1,-118.2871481,33.98253425,31.6
19A79,95034.26266,50.03046034,28.76358527,61.92217754,0.207038778,60.85161289,3.578071844,0.991531592,6.984858093,0.130599846,84.06039531,5.907155091,56.88754654,21509.04985,0.164601363,4.328697167,43.75580846,20.38835311,52524.02297,6.520496849,7.587303502,1,-118.3045882,33.96721188,18.125
19A85,71761.2704,49.00149808,31.00092784,60.70185503,0.195905354,47.8014815,2.900110613,0.70002241,16.60048219,0.300012315,73.40210333,8.700242232,60.80181907,18950.56194,0.158585869,3.825115061,37.70103316,27.30078544,39096.39503,8.400237296,7.500215109,1,-118.2805764,33.97126882,24.62068966
19A93,71226.50868,49.05350902,30.86914932,60.77076613,0.195857889,47.8753246,2.98897715,0.713266565,16.34617006,0.297755359,72.86247961,8.61801961,60.62713869,18908.55541,0.158665374,3.800730549,37.28286642,27.05880601,39435.20852,8.36273569,7.462595878,1,-118.2628877,33.96745697,17.18181818
1A1,34555.9334,60.24456508,13.24911291,71.75751236,0.183190718,33.05838353,12.90455758,1.56487766,40.00811042,0.399397016,31.09764219,12.07776646,48.03847949,12056.57118,0.250994144,2.160799253,33.898525,31.52681067,33763.36242,11.42210767,3.130859684,1,-118.2588056,34.02855243,14.85
1A29,19986.85347,61.46076541,7.961099419,79.35049601,0.162876694,40.99718998,24.88155232,3.409906812,24.37218051,0.797932075,25.33907654,11.86506014,44.55172679,8360.813645,0.242828995,1.835742239,25.67088154,40.77289451,25493.32519,8.163027959,6.035687802,1,-118.2740022,34.01481726,5.441176471
1A35,11004.40316,62.29646315,3.063374606,82.38325722,0.151139498,47.03367072,27.43905877,3.703265488,19.5742722,0.993446979,16.58876342,10.59050095,42.28795152,6296.121215,0.279089803,1.451437819,18.45000421,42.27976076,23118.79502,4.363485159,6.910666827,1,-118.2662559,33.98981775,8.02
1A41,16602.38009,58.86892968,11.53826648,76.81137434,0.143037699,42.4677491,19.45783574,3.352934675,17.35512298,0.691642948,36.80708629,19.21719064,46.74656119,7856.191028,0.248326023,1.828174986,28.7330323,44.23130649,23618.75022,10.05575165,6.11560917,1,-118.2364778,34.02582464,7
1A61,20788.68505,52.11808181,23.55925662,67.047265,0.154885085,37.00187144,8.038204276,2.010254551,16.00811419,0.363875818,61.95916025,22.920885,51.08874466,8599.261835,0.21624492,2.343442323,37.76077845,40.79728129,28267.41125,8.316607727,5.684598304,1,-118.2705422,33.98058752,11.23076923
1A85,13327.64019,55.97392849,13.86433756,72.31983785,0.166193689,45.69962994,14.1669582,2.048292078,16.69840767,0.64869758,40.68135503,14.28072402,46.22930806,6466.334227,0.234152853,1.873172205,26.95252915,38.65145186,27043.07233,1.860312479,6.349822216,1,-118.4664874,33.98247417,15.1
