basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
6,60826,49.94245882,12.38450663,70.60138756,28.05050472,85.3796074,1.964620393,0.254825239,8.708447046,0.006576135,5.60944333,2.309850834,31.9810653,33855,1.592940481,0.319698813,0.133166738,5.823167724,116470,6.7,4.50461389,2,-73.92931716,40.68565666,347.7954545,30891,44,0,1305.2193,0.659090909,0.068181818,0.068181818,0.204545455,0.508581856
60,98445,45.71283458,21.07979075,53.2937173,37.03184519,63.60404287,12.80207222,0.320991417,13.56696633,0.023363299,15.36797196,3.271759938,43.09690449,40223,2.19441613,0.144537559,2.423688354,25.75143481,36928,19.1,11.45449521,2,-73.91684069,40.69455472,237.0408163,36748,98,2,721.444712,0.479591837,0.153061224,0.091836735,0.275510204,0.374280055
61,283298,47.7705455,24.70861072,56.49704551,40.6271841,59.30927857,22.72024511,0.187435139,12.20622807,0.111190337,9.39293606,2.658699487,43.95757148,100914,2.48008205,0.092732741,1.831993166,13.57686959,62436,13.6,8.50945495,2,-73.98890042,40.69482046,203.515625,34276,64,1.5,676.7563861,0.5,0.140625,0.09375,0.265625,0.121215116
62,189342,48.9870182,22.59192361,60.32575974,44.30290163,50.53448258,1.140792851,0.205976487,39.01722808,0.018485069,14.31219698,3.698401712,44.01041033,63568,2.627863076,0.074600458,3.524310507,17.90516631,51694,18,8.444751969,2,-73.97037202,40.69273295,364.7068966,34115,58,9,1003.914776,0.362068966,0.120689655,0.137931034,0.379310345,0.180482936
63,121119,47.08427249,25.92574245,56.88042339,36.7465055,41.49637959,47.62506295,0.075132721,5.715866214,0.009081977,9.386636283,2.209972313,41.91475691,40091,2.620288843,0.071186189,1.278081886,9.268570579,74040,12.4,8.760934848,2,-73.94662884,40.70868568,148.4693878,29456,49,1,629.9005908,0.591836735,0.183673469,0.081632653,0.142857143,0.243603398
66,193031,50.37688247,36.78165683,50.57788645,39.69310629,68.44289259,2.524983034,0.378177598,18.72600774,0.007770773,12.82488305,7.317515271,56.48343532,55169,2.748663199,0.058555362,2.457636338,32.27305459,43942,22.2,6.306728868,2,-73.94772923,40.72507355,541.220339,27291,59,4,2039.195422,0.406779661,0.13559322,0.050847458,0.406779661,0.141687087
67,155394,43.42510007,24.97200664,58.12579636,25.52543856,3.53295494,89.71388857,0.137714455,1.521294258,0.00707878,7.651518077,3.045903046,46.94536273,55944,2.39469827,0.105126324,1.292842709,17.27544178,47462,17.5,9.244107636,2,-73.85334313,40.58480551,406.4727273,58244,220,3,1259.5904,0.45,0.145454545,0.1,0.304545455,0.376230742
68,128689,48.10279045,22.32669459,60.043982,41.92122093,63.50426221,1.711879026,0.410291478,25.06041697,0.020203747,15.60739457,4.555125529,41.4406639,49351,2.341512837,0.121634328,2.094196085,16.63312327,61104,15.8,7.812946825,2,-73.76332247,40.60044418,769.0208333,29810,48,5.5,2511.398216,0.291666667,0.25,0.104166667,0.354166667,0.232016722
69,90179,44.06347376,25.60241298,60.18585258,29.80183857,6.031337673,86.51681655,0.490136285,2.854323069,0,6.318544229,5.807423641,39.98283148,29204,2.610704013,0.071646392,1.715476996,14.68634605,63390,16.5,8.545865039,2,-73.84161079,40.69638104,212.0405405,28621,74,1,705.4434812,0.540540541,0.121621622,0.067567568,0.27027027,0.318200468
7,55326,46.57665474,16.48230488,61.59671764,29.75273831,34.80461266,10.13809059,0.327151791,33.52131005,0,32.26511947,1.944569534,35.58904649,24427,1.943341385,0.198026244,3.660123631,28.06637024,39698,21.5,9.102790805,2,-73.78603783,40.70367532,183.5423729,24467,59,1,705.2100524,0.593220339,0.13559322,0.06779661,0.203389831,0.443299714
